# NoaChess opening table.
#
# One line per opening: ECO code, name, and the moves that reach it in SAN.
# Fields are separated by tabs. Lines starting with # are ignored.
#
# This is a COMPACT table of main lines, not the full ECO index. Every entry
# here is a well established name for the position it points at; the deeper
# sub-variations are deliberately left out rather than guessed at, because a
# confidently wrong opening name is worse than no name at all.
#
# Matching is by POSITION, not by move order, so a line reached by transposition
# is named correctly. Add your own lines freely: the file is read at startup and
# the longest match along the game wins.

A01	Nimzo-Larsen Attack	b3
C03	French, Tarrasch Variation	e4 e6 d4 d5 Nd2
C10	French, Paulsen Variation	e4 e6 d4 d5 Nc3
C11	French, Classical Variation	e4 e6 d4 d5 Nc3 Nf6
C15	French, Winawer Variation	e4 e6 d4 d5 Nc3 Bb4
C20	King's Pawn Game	e4 e5
C21	Centre Game	e4 e5 d4
C23	Bishop's Opening	e4 e5 Bc4
C25	Vienna Game	e4 e5 Nc3
C30	King's Gambit	e4 e5 f4
C33	King's Gambit Accepted	e4 e5 f4 exf4
C40	King's Knight Opening	e4 e5 Nf3
C41	Philidor Defence	e4 e5 Nf3 d6
C42	Petrov's Defence	e4 e5 Nf3 Nf6
C44	King's Pawn Game	e4 e5 Nf3 Nc6
C45	Scotch Game	e4 e5 Nf3 Nc6 d4
C46	Three Knights Game	e4 e5 Nf3 Nc6 Nc3
C47	Four Knights Game	e4 e5 Nf3 Nc6 Nc3 Nf6
C50	Italian Game	e4 e5 Nf3 Nc6 Bc4
C50	Giuoco Piano	e4 e5 Nf3 Nc6 Bc4 Bc5
C51	Evans Gambit	e4 e5 Nf3 Nc6 Bc4 Bc5 b4
C55	Two Knights Defence	e4 e5 Nf3 Nc6 Bc4 Nf6
C57	Two Knights, Knight Attack	e4 e5 Nf3 Nc6 Bc4 Nf6 Ng5
C60	Ruy Lopez	e4 e5 Nf3 Nc6 Bb5
C64	Ruy Lopez, Classical Defence	e4 e5 Nf3 Nc6 Bb5 Bc5
C65	Ruy Lopez, Berlin Defence	e4 e5 Nf3 Nc6 Bb5 Nf6
C68	Ruy Lopez, Exchange Variation	e4 e5 Nf3 Nc6 Bb5 a6 Bxc6
C70	Ruy Lopez, Morphy Defence	e4 e5 Nf3 Nc6 Bb5 a6 Ba4
C78	Ruy Lopez, Main Line	e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O

D00	Queen's Pawn Game	d4 d5
D02	London System	d4 d5 Nf3 Nf6 Bf4
D06	Queen's Gambit	d4 d5 c4
D07	Chigorin Defence	d4 d5 c4 Nc6
D10	Slav Defence	d4 d5 c4 c6
D20	Queen's Gambit Accepted	d4 d5 c4 dxc4
D30	Queen's Gambit Declined	d4 d5 c4 e6
D35	Queen's Gambit Declined, Exchange	d4 d5 c4 e6 Nc3 Nf6 cxd5
D43	Semi-Slav Defence	d4 d5 c4 e6 Nc3 Nf6 Nf3 c6
D70	Gruenfeld Defence	d4 Nf6 c4 g6 Nc3 d5
D85	Gruenfeld, Exchange Variation	d4 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5

E00	Indian Game	d4 Nf6 c4 e6
E04	Catalan Opening	d4 Nf6 c4 e6 g3
E12	Queen's Indian Defence	d4 Nf6 c4 e6 Nf3 b6
E20	Nimzo-Indian Defence	d4 Nf6 c4 e6 Nc3 Bb4
E60	King's Indian Defence	d4 Nf6 c4 g6
E90	King's Indian, Classical	d4 Nf6 c4 g6 Nc3 Bg7 e4 d6 Nf3
